order_id,customer_name,product,quantity,unit_price,order_date,total_price
1,Diana,Tablet,1.9594594594594594,500.0,2024-01-20 00:00:00,979.7297297297297
2,Eve,Laptop,1.9594594594594594,500.0,2024-04-29 00:00:00,979.7297297297297
3,Charlie,Laptop,2.0,250.0,2024-01-08 00:00:00,500.0
4,Eve,Laptop,2.0,750.0,2024-01-07 00:00:00,1500.0
5,Eve,Tablet,3.0,500.0,2024-03-07 00:00:00,1500.0
7,Charlie,Monitor,2.0,750.0,2024-02-02 00:00:00,1500.0
8,Charlie,Laptop,3.0,500.0,2024-02-17 00:00:00,1500.0
9,Charlie,Monitor,1.9594594594594594,750.0,2024-03-16 00:00:00,1469.5945945945946
10,Eve,Monitor,1.0,500.0,2024-02-28 00:00:00,500.0
11,Unknown,Monitor,3.0,750.0,2024-04-24 00:00:00,2250.0
12,Charlie,Tablet,2.0,750.0,2024-03-26 00:00:00,1500.0
13,Frank,Tablet,1.0,750.0,2024-04-28 00:00:00,750.0
14,Eve,Tablet,1.0,500.0,2024-01-22 00:00:00,500.0
15,Bob,Laptop,1.0,500.0,2024-04-19 00:00:00,500.0
16,Diana,Monitor,3.0,750.0,,2250.0
17,Frank,Tablet,2.0,500.0,2024-02-07 00:00:00,1000.0
18,Frank,Tablet,1.0,250.0,2024-04-11 00:00:00,250.0
19,Bob,Laptop,1.9594594594594594,250.0,2024-04-18 00:00:00,489.86486486486484
20,Diana,Tablet,1.0,500.0,2024-02-20 00:00:00,500.0
21,Eve,Laptop,1.0,500.0,2024-02-23 00:00:00,500.0
22,Alice,Phone,3.0,750.0,2024-01-08 00:00:00,2250.0
23,Diana,Tablet,3.0,500.0,2024-01-27 00:00:00,1500.0
24,Bob,Phone,2.0,500.0,2024-01-27 00:00:00,1000.0
25,Frank,Laptop,1.9594594594594594,250.0,2024-04-07 00:00:00,489.86486486486484
26,Eve,Monitor,3.0,750.0,2024-01-21 00:00:00,2250.0
27,Diana,Tablet,1.0,500.0,2024-01-30 00:00:00,500.0
28,Alice,Laptop,2.0,250.0,2024-04-06 00:00:00,500.0
29,Alice,Monitor,1.0,250.0,2024-01-28 00:00:00,250.0
30,Charlie,Monitor,1.0,500.0,2024-04-20 00:00:00,500.0
31,Charlie,Phone,3.0,750.0,2024-03-04 00:00:00,2250.0
32,Bob,Laptop,2.0,750.0,2024-04-06 00:00:00,1500.0
33,Diana,Monitor,1.9594594594594594,500.0,2024-03-09 00:00:00,979.7297297297297
34,Diana,Tablet,1.9594594594594594,500.0,2024-03-01 00:00:00,979.7297297297297
35,Frank,Tablet,3.0,750.0,2024-02-17 00:00:00,2250.0
